Year,Units,Регионы,гражданство,Value
2010,процент,,,30.48
2011,процент,,,28.59
2012,процент,,,27.1
2013,процент,,,23.7
2014,процент,,,20.53
2015,процент,,,21.12
2016,процент,,,20.84
2017,процент,,,19.73
2018,процент,,,19.28
2010,процент,Республика Казахстан,,547.020586854253
2011,процент,Республика Казахстан,,522.4614957564386
2012,процент,Республика Казахстан,,478.67183171790003
2013,процент,Республика Казахстан,,432.5836265926255
2014,процент,Республика Казахстан,,391.8318098064672
2015,процент,Республика Казахстан,,388.085007609387
2016,процент,Республика Казахстан,,370.56758563464035
2017,процент,Республика Казахстан,,353.5716356779593
2010,процент,Акмолинская,,665.4789923291493
2011,процент,Акмолинская,,673.1845863942978
2012,процент,Акмолинская,,594.8770906070888
2013,процент,Акмолинская,,502.5946961958077
2014,процент,Акмолинская,,474.9445037672229
2015,процент,Акмолинская,,545.9898175532418
2016,процент,Акмолинская,,482.8278292764074
2017,процент,Акмолинская,,456.89690287716064
2010,процент,,,439.16910865801657
2011,процент,,,417.4201287556942
2012,процент,,,416.87206906576665
2013,процент,,,384.7074130015403
2014,процент,,,352.42733561256784
2015,процент,,,361.77930738208397
2016,процент,,,352.87368907126984
2017,процент,,,317.25716969501275
2010,процент,,,561.4981480213296
2011,процент,,,508.8282037110981
2012,процент,,,479.3008432375008
2013,процент,,,438.2149481457514
2014,процент,,,404.0322315574962
2015,процент,,,377.6257029440953
2016,процент,,,347.49286189626287
2017,процент,,,332.8582143473937
2010,процент,,,294.96115933220636
2011,процент,,,376.9330376412104
2012,процент,,,353.865290786936
2013,процент,,,326.4382963945754
2014,процент,,,316.38850698734785
2015,процент,,,288.6299855429883
2016,процент,,,308.64197530864203
2017,процент,,,282.8808244420758
2010,процент,Западно-Казахстанская,,693.6194926216309
2011,процент,Западно-Казахстанская,,572.1933368061358
2012,процент,Западно-Казахстанская,,559.2059275828324
2013,процент,Западно-Казахстанская,,508.76938686766204
2014,процент,Западно-Казахстанская,,462.14936131532363
2015,процент,Западно-Казахстанская,,434.24180528414354
2016,процент,Западно-Казахстанская,,431.1329284813671
2017,процент,Западно-Казахстанская,,417.59130540749686
2010,процент,,,449.549873410908
2011,процент,,,457.9269505185812
2012,процент,,,413.7169224052601
2013,процент,,,400.8998428153233
2014,процент,,,372.17262872802536
2015,процент,,,355.1450771714048
2016,процент,,,335.4812277858239
2017,процент,,,328.1907232377663
2010,процент,,,810.7327049617642
2011,процент,,,739.063665741023
2012,процент,,,683.0479581702958
2013,процент,,,547.7163966511933
2014,процент,,,478.49536716913286
2015,процент,,,541.4537889459458
2016,процент,,,507.95940371679717
2017,процент,,,479.3316284318502
2010,процент,,,666.6160538550532
2011,процент,,,661.2199013223262
2012,процент,,,604.7443048793239
2013,процент,,,526.8346086841967
2014,процент,,,485.550366063445
2015,процент,,,495.75841067285376
2016,процент,,,477.951603571307
2017,процент,,,445.58890917919996
2010,процент,,,404.8874361111231
2011,процент,,,348.8018338627857
2012,процент,,,346.2096847018943
2013,процент,,,297.5959105793846
2014,процент,,,280.694138516863
2015,процент,,,281.14830770852274
2016,процент,,,293.9799765960213
2017,процент,,,267.43912579148997
