Year,Units,Регион,Город,Value
2015,,,,17.0
2016,,,,17.0
2017,,,,25.0
2015,,,,30.0
2016,,,,35.0
2017,,,,39.9
2018,,,,54.0
2017,,Акмолинская,,54.95826022225767
2018,,Акмолинская,,56.215347945489405
2017,,Актюбинская,,53.36924676306586
2018,,Актюбинская,,54.83331694365228
2017,,Алматинская,,12.82121098669208
2018,,Алматинская,,33.60261258164318
2017,,Атырауская,,13.530506191056647
2018,,Атырауская,,52.6963906581741
2017,,Западно-Казахстанская,,30.483646925116812
2018,,Западно-Казахстанская,,72.32874943508295
2017,,Жамбылская,,12.93305665824612
2018,,Жамбылская,,65.80963045912654
2017,,Карагандинская,,50.67817868914622
2018,,Карагандинская,,51.13365865270174
2017,,Костанайская,,33.45689042347923
2018,,Костанайская,,52.7519806915368
2017,,Кызылординская,,24.993676968991856
2018,,Кызылординская,,17.130737437459214
2017,,Мангистауская,,30.86736146705393
2018,,Мангистауская,,39.862902288834675
2017,,,,55.201664060425465
2018,,,,62.47969983759871
2017,,Павлодарская,,66.51707095381471
2017,,Северо-Казахстанская,,23.607106315691567
2018,,Северо-Казахстанская,,57.42802303262957
2018,,,,79.2102206736353
2017,,Восточно-Казахстанская,,53.207364675809174
2018,,Восточно-Казахстанская,,77.61424985385645
2017,,,,44.32732769538751
2018,,,,36.835670035865654
2017,,,,36.440745651166885
2018,,,,49.273416891691504
2018,,,г. Шымкент,46.65282634032635
2016,,,,12.6
2017,,,,43.0
2018,,,,72.7
