Year,Units,Официальная помощь для развития,Value
2010,млн_долларов США,Казахстан-получатель,20.9
2011,млн_долларов США,Казахстан-получатель,4.36
2012,млн_долларов США,Казахстан-получатель,0.91
2013,млн_долларов США,Казахстан-получатель,0.17
2014,млн_долларов США,Казахстан-получатель,0.02
2015,млн_долларов США,Казахстан-получатель,0.17
2016,млн_долларов США,Казахстан-получатель,0.22
2017,млн_долларов США,Казахстан-получатель,0.71
2013,млн_долларов США,Казахстан-донор,0.0038
2014,млн_долларов США,Казахстан-донор,0.0066
2015,млн_долларов США,Казахстан-донор,0.0073
2016,млн_долларов США,Казахстан-донор,0.0104
2017,млн_долларов США,Казахстан-донор,0.0031
