Year,UNIT_MEASURE,REF_AREA,Value
2017,PT,,77.1
2017,PT,KZAKM,67.4
2017,PT,KZAKT,78.0
2017,PT,KZALM,84.6
2017,PT,KZATY,79.8
2017,PT,KZZAP,75.7
2017,PT,KZZHA,61.0
2017,PT,KZKAR,70.5
2017,PT,KZKUS,80.4
2017,PT,KZKZY,71.8
2017,PT,KZMAN,78.0
2017,PT,KZPAV,79.6
2017,PT,KZSEV,74.6
2017,PT,KZYUZ,76.8
2017,PT,KZVOS,77.4
2017,PT,KZNS,83.8
2017,PT,KZALA,81.6
2017,PT,KZSHY,80.1
2018,PT,,79.6
2018,PT,KZAKM,68.9
2018,PT,KZAKT,78.0
2018,PT,KZALM,86.7
2018,PT,KZATY,81.2
2018,PT,KZZAP,76.4
2018,PT,KZZHA,78.2
2018,PT,KZKAR,70.6
2018,PT,KZKUS,80.8
2018,PT,KZKZY,78.6
2018,PT,KZMAN,78.1
2018,PT,KZPAV,79.6
2018,PT,KZSEV,74.8
2018,PT,KZYUZ,76.9
2018,PT,KZVOS,77.8
2018,PT,KZNS,85.4
2018,PT,KZALA,87.2
2018,PT,KZSHY,80.8
2019,PT,,82.1
2019,PT,KZAKM,74.7
2019,PT,KZAKT,80.0
2019,PT,KZALM,87.9
2019,PT,KZATY,82.6
2019,PT,KZZAP,78.4
2019,PT,KZZHA,79.8
2019,PT,KZKAR,78.5
2019,PT,KZKUS,82.9
2019,PT,KZKZY,80.1
2019,PT,KZMAN,78.7
2019,PT,KZPAV,82.4
2019,PT,KZSEV,77.1
2019,PT,KZYUZ,77.7
2019,PT,KZVOS,82.5
2019,PT,KZNS,88.7
2019,PT,KZALA,89.0
2019,PT,KZSHY,81.5
2020,PT,,84.1
2020,PT,KZAKM,74.9
2020,PT,KZAKT,81.0
2020,PT,KZALM,88.0
2020,PT,KZATY,83.1
2020,PT,KZZAP,78.8
2020,PT,KZZHA,80.9
2020,PT,KZKAR,83.2
2020,PT,KZKUS,85.8
2020,PT,KZKZY,83.0
2020,PT,KZMAN,79.6
2020,PT,KZPAV,83.5
2020,PT,KZSEV,78.8
2020,PT,KZYUZ,82.1
2020,PT,KZVOS,84.1
2020,PT,KZNS,91.3
2020,PT,KZALA,91.4
2020,PT,KZSHY,82.3
