Year,UNIT_MEASURE,Value
2010,the number of branches of commercial banks per 100 000 adults,3.3
2010,number of ATMs per 100 000 adults,66.1
2011,the number of branches of commercial banks per 100 000 adults,3.1
2011,number of ATMs per 100 000 adults,69.5
2012,the number of branches of commercial banks per 100 000 adults,3.2
2012,number of ATMs per 100 000 adults,73.3
2013,the number of branches of commercial banks per 100 000 adults,3.2
2013,number of ATMs per 100 000 adults,75.0
2014,the number of branches of commercial banks per 100 000 adults,3.3
2014,number of ATMs per 100 000 adults,76.3
2015,the number of branches of commercial banks per 100 000 adults,3.4
2015,number of ATMs per 100 000 adults,75.2
2016,the number of branches of commercial banks per 100 000 adults,2.9
2016,number of ATMs per 100 000 adults,78.0
2017,the number of branches of commercial banks per 100 000 adults,2.8
2017,number of ATMs per 100 000 adults,78.6
2018,the number of branches of commercial banks per 100 000 adults,2.7
2018,number of ATMs per 100 000 adults,88.8
2019,the number of branches of commercial banks per 100 000 adults,2.3
2019,number of ATMs per 100 000 adults,87.1
2020,the number of branches of commercial banks per 100 000 adults,2.3
2020,number of ATMs per 100 000 adults,97.2
2021,the number of branches of commercial banks per 100 000 adults,2.0
2021,number of ATMs per 100 000 adults,95.1
2022,the number of branches of commercial banks per 100 000 adults,1.9
2022,number of ATMs per 100 000 adults,92.2
2023,the number of branches of commercial banks per 100 000 adults,1.9
2023,number of ATMs per 100 000 adults,93.0
