Year,UNIT_MEASURE,Regions,Sex,Area,Age,Value
2012,Percent,,,,,26.0
2012,Percent,Akmola,,,,20.5
2012,Percent,Aktobe,,,,24.7
2012,Percent,Almaty,,,,28.2
2012,Percent,Atyrau,,,,8.2
2012,Percent,Batys Kazakhstan,,,,28.4
2012,Percent,Zhambyl,,,,31.3
2012,Percent,Karagandy,,,,25.8
2012,Percent,Kostanay,,,,38.3
2012,Percent,Kyzylorda,,,,17.1
2012,Percent,Mangistau,,,,2.4
2012,Percent,Ontustik Kazakhstan,,,,37.2
2012,Percent,Pavlodar,,,,29.4
2012,Percent,Soltustik Kazakhstan,,,,40.0
2012,Percent,Shygys Kazakhstan,,,,29.8
2012,Percent,Nur-Sultan city,,,,13.3
2012,Percent,Almaty city,,,,9.8
2012,Percent,,Male,,,24.7
2012,Percent,Akmola,Male,,,21.6
2012,Percent,Aktobe,Male,,,21.8
2012,Percent,Almaty,Male,,,28.7
2012,Percent,Atyrau,Male,,,7.5
2012,Percent,Batys Kazakhstan,Male,,,30.9
2012,Percent,Zhambyl,Male,,,28.0
2012,Percent,Karagandy,Male,,,23.0
2012,Percent,Kostanay,Male,,,35.9
2012,Percent,Kyzylorda,Male,,,15.8
2012,Percent,Mangistau,Male,,,2.3
2012,Percent,Ontustik Kazakhstan,Male,,,35.4
2012,Percent,Pavlodar,Male,,,27.1
2012,Percent,Soltustik Kazakhstan,Male,,,35.2
2012,Percent,Shygys Kazakhstan,Male,,,27.3
2012,Percent,Nur-Sultan city,Male,,,12.4
2012,Percent,Almaty city,Male,,,10.5
2012,Percent,,Female,,,27.5
2012,Percent,Akmola,Female,,,19.3
2012,Percent,Aktobe,Female,,,27.7
2012,Percent,Almaty,Female,,,27.6
2012,Percent,Atyrau,Female,,,8.9
2012,Percent,Batys Kazakhstan,Female,,,25.7
2012,Percent,Zhambyl,Female,,,34.7
2012,Percent,Karagandy,Female,,,28.9
2012,Percent,Kostanay,Female,,,40.7
2012,Percent,Kyzylorda,Female,,,18.6
2012,Percent,Mangistau,Female,,,2.6
2012,Percent,Ontustik Kazakhstan,Female,,,39.2
2012,Percent,Pavlodar,Female,,,31.8
2012,Percent,Soltustik Kazakhstan,Female,,,44.6
2012,Percent,Shygys Kazakhstan,Female,,,32.5
2012,Percent,Nur-Sultan city,Female,,,14.3
2012,Percent,Almaty city,Female,,,9.1
2012,Percent,,,urban,,16.0
2012,Percent,Akmola,,urban,,14.9
2012,Percent,Aktobe,,urban,,16.8
2012,Percent,Almaty,,urban,,21.4
2012,Percent,Atyrau,,urban,,3.1
2012,Percent,Batys Kazakhstan,,urban,,5.6
2012,Percent,Zhambyl,,urban,,14.6
2012,Percent,Karagandy,,urban,,23.5
2012,Percent,Kostanay,,urban,,18.2
2012,Percent,Kyzylorda,,urban,,11.5
2012,Percent,Mangistau,,urban,,2.1
2012,Percent,Ontustik Kazakhstan,,urban,,23.9
2012,Percent,Pavlodar,,urban,,17.9
2012,Percent,Soltustik Kazakhstan,,urban,,24.9
2012,Percent,Shygys Kazakhstan,,urban,,18.0
2012,Percent,Nur-Sultan city,,urban,,13.3
2012,Percent,Almaty city,,urban,,9.8
2012,Percent,,,rural,,37.9
2012,Percent,Akmola,,rural,,25.2
2012,Percent,Aktobe,,rural,,37.9
2012,Percent,Almaty,,rural,,30.2
