Year,UNIT_MEASURE,Sex,Area,возраст,Regions,Value
2010,Percent,,,,,99.7
2010,Percent,,Population of urban areas,,,99.9
2010,Percent,,Population of rural areas,,,99.6
2010,Percent,Male,,,,99.8
2010,Percent,Female,,,,99.7
2010,Percent,,,0-11 месяцев,,99.1
2010,Percent,,,12-23 месяцев,,99.9
2010,Percent,,,24-35 месяцев,,99.9
2010,Percent,,,36-47 месяцев,,99.9
2010,Percent,,,48-59 месяцев,,100.0
2010,Percent,,,,Akmola,98.8
2010,Percent,,,,Aktobe,99.6
2010,Percent,,,,Almaty,100.0
2010,Percent,,,,Atyrau,99.7
2010,Percent,,,,Batys Kazakhstan,100.0
2010,Percent,,,,Zhambyl,99.7
2010,Percent,,,,Karagandy,99.8
2010,Percent,,,,Kostanay,98.7
2010,Percent,,,,Kyzylorda,100.0
2010,Percent,,,,Mangistau,99.7
2010,Percent,,,,Ontustik Kazakhstan,100.0
2010,Percent,,,,Pavlodar,99.6
2010,Percent,,,,Soltustik Kazakhstan,98.8
2010,Percent,,,,Shygys Kazakhstan,99.6
2010,Percent,,,,Nur-Sultan city,100.0
2010,Percent,,,,Almaty city,100.0
2015,Percent,,,,,99.7
2015,Percent,,Population of urban areas,,,99.9
2015,Percent,,Population of rural areas,,,99.5
2015,Percent,Male,,,,99.7
2015,Percent,Female,,,,99.7
2015,Percent,,,0-11 месяцев,,98.7
2015,Percent,,,12-23 месяцев,,100.0
2015,Percent,,,24-35 месяцев,,100.0
2015,Percent,,,36-47 месяцев,,99.8
2015,Percent,,,48-59 месяцев,,100.0
2015,Percent,,,,Akmola,100.0
2015,Percent,,,,Aktobe,100.0
2015,Percent,,,,Almaty,99.1
2015,Percent,,,,Atyrau,98.9
2015,Percent,,,,Batys Kazakhstan,99.7
2015,Percent,,,,Zhambyl,99.4
2015,Percent,,,,Karagandy,99.6
2015,Percent,,,,Kostanay,100.0
2015,Percent,,,,Kyzylorda,99.5
2015,Percent,,,,Mangistau,99.8
2015,Percent,,,,Ontustik Kazakhstan,99.8
2015,Percent,,,,Pavlodar,100.0
2015,Percent,,,,Soltustik Kazakhstan,99.5
2015,Percent,,,,Shygys Kazakhstan,100.0
2015,Percent,,,,Nur-Sultan city,99.7
2015,Percent,,,,Almaty city,100.0
