Year,UNIT_MEASURE,Regions,Area,Sex,Value
2010,Percent,,,,5.7
2010,Percent,Akmola,,,6.2
2010,Percent,Aktobe,,,1.4
2010,Percent,Almaty,,,6.4
2010,Percent,Atyrau,,,3.5
2010,Percent,Batys Kazakhstan,,,8.3
2010,Percent,Zhambyl,,,8.1
2010,Percent,Karagandy,,,6.9
2010,Percent,Kostanay,,,4.2
2010,Percent,Kyzylorda,,,7.6
2010,Percent,Mangistau,,,8.3
2010,Percent,Ontustik Kazakhstan,,,4.1
2010,Percent,Pavlodar,,,3.3
2010,Percent,Soltustik Kazakhstan,,,4.6
2010,Percent,Shygys Kazakhstan,,,8.9
2010,Percent,Nur-Sultan city,,,7.8
2010,Percent,Almaty city,,,3.8
2010,Percent,,,Male,4.4
2010,Percent,Akmola,,Male,6.5
2010,Percent,Aktobe,,Male,1.7
2010,Percent,Almaty,,Male,4.9
2010,Percent,Atyrau,,Male,2.3
2010,Percent,Batys Kazakhstan,,Male,7.9
2010,Percent,Zhambyl,,Male,5.1
2010,Percent,Karagandy,,Male,3.8
2010,Percent,Kostanay,,Male,3.8
2010,Percent,Kyzylorda,,Male,7.0
2010,Percent,Mangistau,,Male,6.9
2010,Percent,Ontustik Kazakhstan,,Male,1.9
2010,Percent,Pavlodar,,Male,2.7
2010,Percent,Soltustik Kazakhstan,,Male,4.9
2010,Percent,Shygys Kazakhstan,,Male,8.1
2010,Percent,Nur-Sultan city,,Male,3.2
2010,Percent,Almaty city,,Male,3.0
2010,Percent,,,Female,7.1
2010,Percent,Akmola,,Female,6.0
2010,Percent,Aktobe,,Female,1.1
2010,Percent,Almaty,,Female,7.8
2010,Percent,Atyrau,,Female,4.8
2010,Percent,Batys Kazakhstan,,Female,8.6
2010,Percent,Zhambyl,,Female,11.4
2010,Percent,Karagandy,,Female,10.1
2010,Percent,Kostanay,,Female,4.6
2010,Percent,Kyzylorda,,Female,8.2
2010,Percent,Mangistau,,Female,9.7
2010,Percent,Ontustik Kazakhstan,,Female,6.3
2010,Percent,Pavlodar,,Female,4.0
2010,Percent,Soltustik Kazakhstan,,Female,4.3
2010,Percent,Shygys Kazakhstan,,Female,9.7
2010,Percent,Nur-Sultan city,,Female,11.9
2010,Percent,Almaty city,,Female,4.5
2010,Percent,,urban,,5.7
2010,Percent,Akmola,urban,,5.6
2010,Percent,Aktobe,urban,,2.3
2010,Percent,Almaty,urban,,5.8
2010,Percent,Atyrau,urban,,3.4
2010,Percent,Batys Kazakhstan,urban,,10.7
2010,Percent,Zhambyl,urban,,8.2
2010,Percent,Karagandy,urban,,7.4
2010,Percent,Kostanay,urban,,3.8
2010,Percent,Kyzylorda,urban,,9.1
2010,Percent,Mangistau,urban,,8.3
2010,Percent,Ontustik Kazakhstan,urban,,4.9
2010,Percent,Pavlodar,urban,,4.1
2010,Percent,Soltustik Kazakhstan,urban,,3.7
2010,Percent,Shygys Kazakhstan,urban,,6.3
2010,Percent,Nur-Sultan city,urban,,7.8
2010,Percent,Almaty city,urban,,3.8
