Year,UNIT_MEASURE,Өңірлер,Value
2016,пайыз,Ақмола,100.0
2016,пайыз,Ақтөбе,100.0
2016,пайыз,Алматы,100.0
2016,пайыз,Атырау,100.0
2016,пайыз,Батыс Қазақстан,100.0
2016,пайыз,Жамбыл,100.0
2016,пайыз,Қарағанды,100.0
2016,пайыз,Қостанай,100.0
2016,пайыз,Қызылорда,100.0
2016,пайыз,Маңғыстау,100.0
2016,пайыз,Оңтүстік Қазақстан,100.0
2016,пайыз,Павлодар,100.0
2016,пайыз,Солтүстік Қазақстан,100.0
2016,пайыз,Шығыс Қазақстан,100.0
2016,пайыз,Нұр-Сұлтан қаласы,100.0
2016,пайыз,Алматы қаласы,100.0
2017,пайыз,Ақмола,100.0
2017,пайыз,Ақтөбе,100.0
2017,пайыз,Алматы,100.0
2017,пайыз,Атырау,100.0
2017,пайыз,Батыс Қазақстан,100.0
2017,пайыз,Жамбыл,100.0
2017,пайыз,Қарағанды,100.0
2017,пайыз,Қостанай,100.0
2017,пайыз,Қызылорда,100.0
2017,пайыз,Маңғыстау,100.0
2017,пайыз,Оңтүстік Қазақстан,100.0
2017,пайыз,Павлодар,100.0
2017,пайыз,Солтүстік Қазақстан,100.0
2017,пайыз,Шығыс Қазақстан,100.0
2017,пайыз,Нұр-Сұлтан қаласы,100.0
2017,пайыз,Алматы қаласы,100.0
2018,пайыз,Ақмола,100.0
2018,пайыз,Ақтөбе,100.0
2018,пайыз,Алматы,100.0
2018,пайыз,Атырау,100.0
2018,пайыз,Батыс Қазақстан,100.0
2018,пайыз,Жамбыл,100.0
2018,пайыз,Қарағанды,100.0
2018,пайыз,Қостанай,100.0
2018,пайыз,Қызылорда,100.0
2018,пайыз,Маңғыстау,100.0
2018,пайыз,Павлодар,100.0
2018,пайыз,Солтүстік Қазақстан,100.0
2018,пайыз,Түркістан,100.0
2018,пайыз,Шығыс Қазақстан,100.0
2018,пайыз,Нұр-Сұлтан қаласы,100.0
2018,пайыз,Алматы қаласы,100.0
2018,пайыз,Шымкент қаласы,100.0
2019,пайыз,Ақмола,100.0
2019,пайыз,Ақтөбе,100.0
2019,пайыз,Алматы,100.0
2019,пайыз,Атырау,100.0
2019,пайыз,Батыс Қазақстан,100.0
2019,пайыз,Жамбыл,100.0
2019,пайыз,Қарағанды,100.0
2019,пайыз,Қостанай,100.0
2019,пайыз,Қызылорда,100.0
2019,пайыз,Маңғыстау,100.0
2019,пайыз,Павлодар,100.0
2019,пайыз,Солтүстік Қазақстан,100.0
2019,пайыз,Түркістан,100.0
2019,пайыз,Шығыс Қазақстан,100.0
2019,пайыз,Нұр-Сұлтан қаласы,100.0
2019,пайыз,Алматы қаласы,100.0
2019,пайыз,Шымкент қаласы,100.0
2020,пайыз,Ақмола,100.0
2020,пайыз,Ақтөбе,100.0
2020,пайыз,Алматы,99.6
2020,пайыз,Атырау,100.0
2020,пайыз,Батыс Қазақстан,100.0
2020,пайыз,Жамбыл,100.0
2020,пайыз,Қарағанды,100.0
2020,пайыз,Қостанай,100.0
2020,пайыз,Қызылорда,100.0
2020,пайыз,Маңғыстау,100.0
2020,пайыз,Павлодар,100.0
2020,пайыз,Солтүстік Қазақстан,100.0
2020,пайыз,Түркістан,100.0
2020,пайыз,Шығыс Қазақстан,100.0
2020,пайыз,Нұр-Сұлтан қаласы,100.0
2020,пайыз,Алматы қаласы,100.0
2020,пайыз,Шымкент қаласы,100.0
2021,пайыз,Ақмола,100.0
2021,пайыз,Ақтөбе,100.0
2021,пайыз,Алматы,89.9
2021,пайыз,Атырау,100.0
2021,пайыз,Батыс Қазақстан,100.0
2021,пайыз,Жамбыл,100.0
2021,пайыз,Қарағанды,100.0
2021,пайыз,Қостанай,100.0
2021,пайыз,Қызылорда,100.0
2021,пайыз,Маңғыстау,100.0
2021,пайыз,Павлодар,100.0
2021,пайыз,Солтүстік Қазақстан,100.0
2021,пайыз,Түркістан,99.8
2021,пайыз,Шығыс Қазақстан,100.0
2021,пайыз,Нұр-Сұлтан қаласы,100.0
2021,пайыз,Алматы қаласы,99.3
2021,пайыз,Шымкент қаласы,100.0
