Year,UNIT_MEASURE,Өңірлер,Value
2015,пайыз,,30.0
2016,пайыз,,44.7
2017,пайыз,,55.0
2017,пайыз,Ақмола,58.2
2017,пайыз,Ақтөбе,38.2
2017,пайыз,Алматы,36.0
2017,пайыз,Атырау,52.3
2017,пайыз,Батыс Қазақстан,52.1
2017,пайыз,Жамбыл,53.3
2017,пайыз,Қарағанды,48.2
2017,пайыз,Қостанай,59.7
2017,пайыз,Қызылорда,40.3
2017,пайыз,Маңғыстау,47.0
2017,пайыз,Оңтүстік Қазақстан,64.5
2017,пайыз,Павлодар,60.8
2017,пайыз,Солтүстік Қазақстан,61.0
2017,пайыз,Шығыс Қазақстан,56.9
2017,пайыз,Нұр-Сұлтан қаласы,88.1
2017,пайыз,Алматы қаласы,100.0
2018,пайыз,,60.0
2018,пайыз,Ақмола,59.6
2018,пайыз,Ақтөбе,60.2
2018,пайыз,Алматы,43.3
2018,пайыз,Атырау,60.6
2018,пайыз,Батыс Қазақстан,71.8
2018,пайыз,Жамбыл,62.2
2018,пайыз,Қарағанды,55.1
2018,пайыз,Қостанай,59.6
2018,пайыз,Қызылорда,46.4
2018,пайыз,Маңғыстау,59.9
2018,пайыз,Павлодар,60.2
2018,пайыз,Солтүстік Қазақстан,61.0
2018,пайыз,Түркістан,63.4
2018,пайыз,Шығыс Қазақстан,58.9
2018,пайыз,Нұр-Сұлтан қаласы,88.2
2018,пайыз,Алматы қаласы,99.5
2018,пайыз,Шымкент қаласы,63.4
2019,пайыз,,64.9
2019,пайыз,Ақмола,78.0
2019,пайыз,Ақтөбе,70.9
2019,пайыз,Алматы,51.8
2019,пайыз,Атырау,60.0
2019,пайыз,Батыс Қазақстан,72.0
2019,пайыз,Жамбыл,65.8
2019,пайыз,Қарағанды,59.7
2019,пайыз,Қостанай,72.9
2019,пайыз,Қызылорда,69.6
2019,пайыз,Маңғыстау,70.3
2019,пайыз,Павлодар,87.4
2019,пайыз,Солтүстік Қазақстан,55.6
2019,пайыз,Түркістан,43.3
2019,пайыз,Шығыс Қазақстан,72.2
2019,пайыз,Нұр-Сұлтан қаласы,80.5
2019,пайыз,Алматы қаласы,86.8
2019,пайыз,Шымкент қаласы,64.2
2020,пайыз,,74.8
2020,пайыз,Ақмола,81.9
2020,пайыз,Ақтөбе,80.1
2020,пайыз,Алматы,66.4
2020,пайыз,Атырау,71.3
2020,пайыз,Батыс Қазақстан,73.5
2020,пайыз,Жамбыл,68.6
2020,пайыз,Қарағанды,66.8
2020,пайыз,Қостанай,78.9
2020,пайыз,Қызылорда,86.7
2020,пайыз,Маңғыстау,81.4
2020,пайыз,Павлодар,88.7
2020,пайыз,Солтүстік Қазақстан,71.4
2020,пайыз,Түркістан,69.0
2020,пайыз,Шығыс Қазақстан,74.9
2020,пайыз,Нұр-Сұлтан қаласы,86.7
2020,пайыз,Алматы қаласы,87.4
2020,пайыз,Шымкент қаласы,72.7
