Year,UNIT_MEASURE,Регионы,Value
2015,процент,,9.1
2016,процент,,10.0
2017,процент,,15.0
2017,процент,Акмолинская,23.0
2017,процент,Актюбинская,13.0
2017,процент,Алматинская,10.9
2017,процент,Атырауская,7.9
2017,процент,Западно-Казахстанская,18.1
2017,процент,Жымбылская,21.3
2017,процент,Карагандинская,34.4
2017,процент,Костанайская,26.9
2017,процент,Кызылординская,10.1
2017,процент,Мангистауская,10.0
2017,процент,Южно-Казахстанская,9.8
2017,процент,Павлодарская,24.4
2017,процент,Северо-Казахстанская,26.9
2017,процент,Восточно-Казахстанская,20.6
2017,процент,г_Нур-Султан,20.0
2017,процент,г_Алматы,12.0
2018,процент,,20.1
2018,процент,Акмолинская,20.3
2018,процент,Актюбинская,20.5
2018,процент,Алматинская,10.1
2018,процент,Атырауская,20.2
2018,процент,Западно-Казахстанская,22.1
2018,процент,Жымбылская,29.9
2018,процент,Карагандинская,31.4
2018,процент,Костанайская,20.1
2018,процент,Кызылординская,21.0
2018,процент,Мангистауская,20.2
2018,процент,Павлодарская,73.4
2018,процент,Северо-Казахстанская,16.0
2018,процент,Туркестанская,9.0
2018,процент,Восточно-Казахстанская,20.5
2018,процент,г_Нур-Султан,10.3
2018,процент,г_Алматы,41.2
2018,процент,г_Шымкент,9.1
2019,процент,,28.7
2019,процент,Акмолинская,51.6
2019,процент,Актюбинская,35.4
2019,процент,Алматинская,16.7
2019,процент,Атырауская,24.4
2019,процент,Западно-Казахстанская,39.3
2019,процент,Жымбылская,37.3
2019,процент,Карагандинская,37.5
2019,процент,Костанайская,47.6
2019,процент,Кызылординская,18.5
2019,процент,Мангистауская,33.0
2019,процент,Павлодарская,89.2
2019,процент,Северо-Казахстанская,65.4
2019,процент,Туркестанская,12.7
2019,процент,Восточно-Казахстанская,33.3
2019,процент,г_Нур-Султан,32.9
2019,процент,г_Алматы,30.8
2019,процент,г_Шымкент,23.9
2020,процент,,53.3
2020,процент,Акмолинская,63.5
2020,процент,Актюбинская,47.7
2020,процент,Алматинская,58.6
2020,процент,Атырауская,25.7
2020,процент,Западно-Казахстанская,39.7
2020,процент,Жымбылская,49.3
2020,процент,Карагандинская,51.6
2020,процент,Костанайская,63.9
2020,процент,Кызылординская,62.1
2020,процент,Мангистауская,38.2
2020,процент,Павлодарская,97.1
2020,процент,Северо-Казахстанская,68.1
2020,процент,Туркестанская,28.5
2020,процент,Восточно-Казахстанская,43.8
2020,процент,г_Нур-Султан,66.3
2020,процент,г_Алматы,83.1
2020,процент,г_Шымкент,71.6
