Year,Value,GeoCode,UNIT_MEASURE
2010,11.3,,PT_IN_2010_PRICE
2010,1027.0,,USD_IN_2010_PRICE
2011,11.3,,PT_IN_2010_PRICE
2011,1083.4,,USD_IN_2010_PRICE
2012,11.1,,PT_IN_2010_PRICE
2012,1100.9,,USD_IN_2010_PRICE
2013,10.8,,PT_IN_2010_PRICE
2013,1117.3,,USD_IN_2010_PRICE
2014,10.5,,PT_IN_2010_PRICE
2014,1118.4,,USD_IN_2010_PRICE
2015,10.4,,PT_IN_2010_PRICE
2015,1105.0,,USD_IN_2010_PRICE
2016,10.5,,PT_IN_2010_PRICE
2016,1109.1,,USD_IN_2010_PRICE
2017,10.7,,PT_IN_2010_PRICE
2017,1161.5,,USD_IN_2010_PRICE
2018,10.7,,PT_IN_2010_PRICE
2018,1182.0,,USD_IN_2010_PRICE
2019,10.9,,PT_IN_2010_PRICE
2019,1250.8,,USD_IN_2010_PRICE
2020,11.6,,PT_IN_2010_PRICE
2020,1283.7,,USD_IN_2010_PRICE
2021,11.6,,PT_IN_2010_PRICE
2021,1325.8,,USD_IN_2010_PRICE
2022,11.7,,PT_IN_2010_PRICE
2022,1329.9,,USD_IN_2010_PRICE
2023,11.6,,PT_IN_2010_PRICE
2023,1364.8,,USD_IN_2010_PRICE
