Value,ru,kk,en,Disaggregation combinations using this value,Number of indicators
_L_KZ_010101_1A,"1,9 долларов США по ППС в  день","Күніне САҚП бойынша 1,9 АҚШ доллары",1.9 US dollars per day (based on PPP),33,1
_L_KZ_010101_1B,"3,2 долларов США по ППС в  день","Күніне САҚП бойынша 3,2 АҚШ доллары",3.2 US dollars per day (based on PPP),55,1
_L_KZ_010101_1C,"5,5 долларов США по ППС в  день","Күніне САҚП бойынша 5,5 АҚШ доллары",5.5 US dollars per day (based on PPP),56,1
_L_KZ_010301_1A,Численность получателей адресной социальной помощи,Мемлекеттік атаулы әлеуметтік көмек алушылардың саны,Number of Beneficiaries: (low-income individuals and households),1,1
_L_KZ_020102_1A,острое отсутствие продовольственной безопасности,өткір азық-түлік қауіпсіздігі,Extreme food insecurity,1,1
_L_KZ_020102_1B,умеренное и острое отсутствие продовольственной безопасности,қалыпты және қатаң азық-түлік қауіпсіздігі,Food insecurity (moderate and extreme),1,1
_L_KZ_030b01_1A,Охват АКДС (3 дозы),АКДС-пен қамтылу (3 дозасы),DTP Coverage (3 doses),1,1
_L_KZ_030b01_1B,Охват вакциной против кори (2 дозы),Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),Measles vaccine coverage (2 doses),1,1
_L_KZ_030b01_1C,Охват Пневмококковой конъюгированной вакциной (3 дозы),Пневмококты конъюгациялы вакцинамен қамтылу (3 дозасы),Pneumococcal Conjugate Vaccine Coverage (3 doses),1,1
_L_KZ_040101_1A,i) грамотности в разбивке по полу,i) жынысы бойынша бөлінісінде сауаттылық,i) literacy (based on gender),35,1
_L_KZ_040101_1B,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",iii) жынысы бойынша бөлінісінде есептеу машығына ие (2 сынып) Математика,ii) basic math skills (based on gender and 2nd grade),3,1
_L_KZ_040101_1C,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",ii) жынысы бойынша бөлінісінде есептеу машығына ие (3 сынып) Математика,ii) basic math skills (based on gender and 3rd grade),3,1
_L_KZ_050201_1A,в течение жизни,өмір бойы,During lifetime,6,1
_L_KZ_050201_1B,в последние 12 месяцев,соңғы 12 айда,In the last 12 months,6,1
_L_KZ_090102_1A,Автомобильный,Автокөлік,Automobile,2,1
_L_KZ_090102_1B,Внутренним водным,Ішкі су көлігімен,Inland water еransport,2,1
